sku,name,price,short_description
BGM0430,"Magical Melody Birthday Card",4.0000,"<p><p>Presidential blue is the background for this happy birthday greeting. A delightful bouquet of multicolored balloons stretches up swirling and dodging little golden stars. ""Happy Birthday"" is written in large cursive across the front of the card. The message continues at the bottom of the card and says, ""To You Happy Birthday."" Additional golden foiled stars appear at the sides of the card.</p><br />Message: Wishing you all the best on this wonderful day and throughout the year ahead.</p>"
BBC23567,"Faint Flourish Anniversary Card",4.0000,"<p>This beautiful anniversary card with elegant flourish design is a wonderful way to recognize employees for their years of hard work.<br />Message: Thank you for your hard work and dedication to the team!</p>"
BBC23576,"Faint Flourish Get Well",4.0000,"<p>This beautiful get well card with elegant flourish design is a wonderful way to share your hopes for a healthier tomorrow.<br />Message: Sending many warm thoughts and good wishes.</p>"
BBC23577,"Faint Flourish Congratulations",4.0000,"<p>This beautiful congratulations card with elegant flourish design is a wonderful way to recognize others for their accomplishments.<br />Message: Your efforts have been greatly appreciated</p>"
BBC23578,"Faint Flourish Sympathy",4.0000,"<p>This beautiful sympathy card with elegant flourish design is a wonderful way to share your heartfelt sentiments with others in their times of need.<br />Message: With sincere condolences in your time of sorrow</p>"
BBC23579,"Faint Flourish Appreciation",4.0000,"<p>This beautiful thank you card with elegant flourish design is a wonderful way to share your appreciation with those who make your business possible.<br />Message:Thanks for a job well done</p>"
BBC23580,"Faint Flourish Birthday Card",4.0000,"<p>This beautiful birthday card with elegant flourish design is a wonderful way to share warm sentiments and encourage celebration on such a special day.<br />Message: Best wishes to you on your birthday and for many Birthdays to come.</p>"
BGM0624,"Worldly Wishes Birthday Card",4.0000,"<p>Birthday wishes from across the world come together as a cheerful background on this birthday card featuring a glowing birthday cake. ""Happy Birthday"" appears in silver foil below.<br />Message: Best wishes on your birthday and throughout the coming year</p>"
BGXA3587,"Birthday Swirls Birthday Card",4.0000,"<p>Colorful painted swirls dance across this bright white card, giving your birthday wishes an eye-catching backdrop. Gold foil accents add to the card's remarkable appeal.<br />Message: Wishing you all the best on this wonderful day and throughout the year ahead</p>"
BGM0620,"Thoughtful Wishes Birthday Card",4.0000,"<p>Celebrate their big day with this thoughtful birthday card encouraging the honoree to ""Make a Wish!"" Exciting colors and sparkling silver foil add extra enthusiasm to this greeting.<br />Message: May you have an unforgettable day filled with happiness.</p>"
BGM0629,"Color Craze Birthday Card",4.0000,"<p>People go crazy for color, which makes this greeting card perfect for starting up a celebration! Brilliant colors shine brightly against a black background.<br />Message: May the coming year bring the best of everything. Happy Birthday!</p>"
BG769,"Star Treatment Birthday Card",4.0000,"<p>An elegant birthday greeting printed on matte white paper stands out with ""Happy"" printed in blue foil and ""Birthday"" written in a script font on a band of blue in silver foil. A trail of tiny blue and silver foil stars and a silver deckle edge add the perfect finishing touch.<br />Message: Have a wonderful day!</p>"
